,entry_timestamp,close_timestamp,status,order_type,profit_status,entry_price,close_price,lot,transaction_cost,profit_size,profit_percentage
0,2019-09-18 02:00:00,2019-09-18 08:00:00,closed,short,win,10228.0,10212.5,1,5.10625,10.39375,0.10162055142745405
1,2019-09-18 11:00:00,2019-09-18 12:00:00,closed,short,lose,10222.0,10238.5,1,5.11925,-21.61925,-0.21149726081001763
2,2019-09-18 14:00:00,2019-09-18 20:00:00,closed,short,win,10212.0,10205.5,1,5.10275,1.3972499999999997,0.01368243243243243
3,2019-09-19 02:00:00,2019-09-19 04:00:00,closed,short,lose,10178.0,10197.5,1,5.09875,-24.59875,-0.24168549813322854
4,2019-09-19 05:00:00,2019-09-19 06:00:00,closed,long,lose,10200.0,10175.0,1,5.0875,-30.0875,-0.2949754901960784
5,2019-09-19 07:00:00,2019-09-19 08:00:00,closed,short,lose,10163.0,10180.0,1,5.09,-22.09,-0.21735707960247957
6,2019-09-19 09:00:00,2019-09-19 14:00:00,closed,short,win,10132.0,9865.5,1,4.93275,261.56725,2.5815954401894983
7,2019-09-19 16:00:00,2019-09-19 17:00:00,closed,short,lose,9870.5,9871.5,1,4.9357500000000005,-5.9357500000000005,-0.060136264626918595
8,2019-09-19 19:00:00,2019-09-19 20:00:00,closed,short,lose,9850.5,9874.5,1,4.93725,-28.93725,-0.2937642759250799
9,2019-09-19 23:00:00,2019-09-20 08:00:00,closed,long,win,9883.0,10248.5,1,5.12425,360.37575,3.6464206212688457
10,2019-09-20 16:00:00,2019-09-20 18:00:00,closed,short,lose,10155.0,10165.0,1,5.0825000000000005,-15.0825,-0.14852289512555392
11,2019-09-20 20:00:00,2019-09-20 21:00:00,closed,long,lose,10224.0,10182.5,1,5.0912500000000005,-46.59125,-0.4557047143974961
12,2019-09-21 00:00:00,2019-09-21 02:00:00,closed,short,lose,10099.0,10150.0,1,5.075,-56.075,-0.5552529953460739
13,2019-09-21 05:00:00,2019-09-21 06:00:00,closed,short,lose,10129.0,10135.5,1,5.06775,-11.56775,-0.11420426498173562
14,2019-09-21 07:00:00,2019-09-21 08:00:00,closed,long,lose,10175.5,10157.5,1,5.07875,-23.07875,-0.22680703650926243
15,2019-09-21 10:00:00,2019-09-21 11:00:00,closed,short,lose,10125.5,10133.5,1,5.06675,-13.066749999999999,-0.12904794824946916
16,2019-09-21 12:00:00,2019-09-21 15:00:00,closed,short,win,10093.0,10080.0,1,5.04,7.96,0.07886654116714555
17,2019-09-21 16:00:00,2019-09-21 19:00:00,closed,short,lose,10027.0,10047.5,1,5.02375,-25.52375,-0.2545502144210631
18,2019-09-21 20:00:00,2019-09-21 21:00:00,closed,short,lose,9979.0,10005.5,1,5.00275,-31.50275,-0.31569044994488427
19,2019-09-21 22:00:00,2019-09-21 23:00:00,closed,short,lose,9995.0,10041.0,1,5.0205,-51.0205,-0.5104602301150575
20,2019-09-22 00:00:00,2019-09-22 02:00:00,closed,short,win,10003.0,9990.5,1,4.99525,7.50475,0.07502499250224932
