,entry_timestamp,close_timestamp,status,order_type,profit_status,entry_price,close_price,lot,transaction_cost,profit_size,profit_percentage
0,2019-12-02 02:30:00,2019-12-02 03:30:00,closed,short,win,7317.5,7305.5,1,3.65275,8.347249999999999,0.114072429108302
1,2019-12-02 05:00:00,2019-12-02 05:05:00,closed,short,lose,7322.5,7328.5,1,3.66425,-9.66425,-0.131980198019802
2,2019-12-02 05:10:00,2019-12-02 05:15:00,closed,short,lose,7312.0,7340.0,1,3.67,-31.67,-0.4331236323851204
3,2019-12-02 05:25:00,2019-12-02 05:30:00,closed,short,lose,7340.5,7347.0,1,3.6735,-10.1735,-0.138594101219263
4,2019-12-02 05:45:00,2019-12-02 05:50:00,closed,short,lose,7353.0,7380.5,1,3.6902500000000003,-31.19025,-0.42418400652794774
5,2019-12-02 06:10:00,2019-12-02 06:15:00,closed,short,lose,7359.5,7361.5,1,3.68075,-5.68075,-0.07718934710238468
6,2019-12-02 06:25:00,2019-12-02 06:30:00,closed,short,lose,7356.5,7357.5,1,3.67875,-4.67875,-0.06360021749473255
7,2019-12-02 07:00:00,2019-12-02 07:30:00,closed,long,win,7395.0,7404.5,1,3.7022500000000003,5.79775,0.07840094658553076
8,2019-12-02 07:35:00,2019-12-02 07:45:00,closed,long,lose,7410.5,7403.0,1,3.7015000000000002,-11.2015,-0.15115714189325957
9,2019-12-02 08:05:00,2019-12-02 08:10:00,closed,long,lose,7407.0,7404.0,1,3.702,-6.702,-0.09048197650870798
10,2019-12-02 08:30:00,2019-12-02 08:35:00,closed,long,lose,7388.5,7380.5,1,3.6902500000000003,-11.69025,-0.15822223726060772
11,2019-12-02 08:40:00,2019-12-02 08:50:00,closed,short,win,7370.0,7362.0,1,3.681,4.319,0.058602442333785615
12,2019-12-02 09:05:00,2019-12-02 09:10:00,closed,short,lose,7371.5,7371.0,1,3.6855,-3.1855,-0.04321372854914197
13,2019-12-02 09:15:00,2019-12-02 09:20:00,closed,short,lose,7363.0,7365.0,1,3.6825,-5.6825,-0.07717642265380958
14,2019-12-02 09:35:00,2019-12-02 09:40:00,closed,long,lose,7400.0,7400.0,1,3.7,-3.7,-0.05
15,2019-12-02 09:45:00,2019-12-02 10:15:00,closed,long,lose,7411.0,7397.0,1,3.6985,-17.6985,-0.23881392524625558
16,2019-12-02 10:45:00,2019-12-02 11:00:00,closed,long,lose,7412.0,7395.0,1,3.6975000000000002,-20.6975,-0.2792431192660551
17,2019-12-02 11:15:00,2019-12-02 12:35:00,closed,short,win,7385.5,7350.0,1,3.6750000000000003,31.825,0.43091192200934264
18,2019-12-02 12:40:00,2019-12-02 12:45:00,closed,short,lose,7339.5,7338.5,1,3.66925,-2.66925,-0.03636828121806662
19,2019-12-02 12:55:00,2019-12-02 13:00:00,closed,long,lose,7371.5,7352.0,1,3.676,-23.176000000000002,-0.31440005426304013
20,2019-12-02 13:10:00,2019-12-02 14:30:00,closed,short,win,7334.0,7226.5,1,3.6132500000000003,103.88675,1.416508726479411
21,2019-12-02 15:10:00,2019-12-02 15:20:00,closed,short,lose,7230.0,7239.0,1,3.6195,-12.6195,-0.1745435684647303
22,2019-12-02 15:25:00,2019-12-02 15:30:00,closed,short,lose,7233.0,7229.5,1,3.61475,-0.11474999999999991,-0.0015864786395686423
23,2019-12-02 16:00:00,2019-12-02 16:40:00,closed,short,win,7228.0,7208.5,1,3.60425,15.89575,0.21991906474820144
24,2019-12-02 16:55:00,2019-12-02 17:00:00,closed,short,lose,7222.5,7237.0,1,3.6185,-18.1185,-0.2508618899273105
25,2019-12-02 17:30:00,2019-12-02 17:35:00,closed,long,lose,7328.5,7316.0,1,3.658,-16.158,-0.220481681108003
26,2019-12-02 18:00:00,2019-12-02 18:05:00,closed,long,lose,7324.5,7317.0,1,3.6585,-11.1585,-0.15234486995699364
27,2019-12-02 18:15:00,2019-12-02 18:30:00,closed,long,lose,7338.0,7322.0,1,3.661,-19.661,-0.26793404197328974
28,2019-12-02 18:40:00,2019-12-02 18:45:00,closed,long,lose,7326.5,7295.5,1,3.6477500000000003,-34.64775,-0.4729099843035556
29,2019-12-02 19:15:00,2019-12-02 19:20:00,closed,long,lose,7311.0,7282.5,1,3.64125,-32.14125,-0.43962864177267125
30,2019-12-02 20:05:00,2019-12-02 20:10:00,closed,short,lose,7237.5,7247.0,1,3.6235,-13.1235,-0.18132642487046632
31,2019-12-02 20:30:00,2019-12-02 20:45:00,closed,long,win,7269.0,7304.0,1,3.652,31.348,0.43125601870958863
32,2019-12-02 20:50:00,2019-12-02 21:00:00,closed,long,lose,7311.0,7296.0,1,3.648,-18.648,-0.25506770619614283
33,2019-12-02 21:15:00,2019-12-02 21:20:00,closed,long,lose,7300.0,7297.5,1,3.64875,-6.14875,-0.08422945205479451
34,2019-12-02 21:25:00,2019-12-02 21:40:00,closed,long,lose,7308.0,7302.0,1,3.6510000000000002,-9.651,-0.1320607553366174
35,2019-12-02 21:45:00,2019-12-02 22:00:00,closed,long,lose,7306.0,7266.5,1,3.63325,-43.13325,-0.5903811935395565
36,2019-12-02 22:05:00,2019-12-02 22:10:00,closed,short,lose,7277.5,7330.5,1,3.66525,-56.66525,-0.7786362074888354
37,2019-12-02 22:15:00,2019-12-02 22:25:00,closed,long,lose,7324.5,7317.0,1,3.6585,-11.1585,-0.15234486995699364
38,2019-12-02 22:30:00,2019-12-02 22:35:00,closed,long,lose,7322.5,7293.0,1,3.6465,-33.1465,-0.4526664390576989
39,2019-12-02 22:40:00,2019-12-02 23:05:00,closed,short,lose,7292.5,7303.0,1,3.6515,-14.1515,-0.19405553651011315
40,2019-12-02 23:15:00,2019-12-02 23:25:00,closed,long,lose,7311.0,7294.0,1,3.6470000000000002,-20.647,-0.28241006702229515
41,2019-12-02 23:30:00,2019-12-02 23:40:00,closed,long,win,7300.0,7323.0,1,3.6615,19.3385,0.2649109589041096
42,2019-12-02 23:45:00,2019-12-02 23:50:00,closed,short,lose,7316.0,7319.5,1,3.6597500000000003,-7.159750000000001,-0.09786427009294697
43,2019-12-03 00:00:00,2019-12-03 00:05:00,closed,long,lose,7323.0,7305.5,1,3.65275,-21.15275,-0.28885361190768816
44,2019-12-03 00:20:00,2019-12-03 00:25:00,closed,short,lose,7289.0,7296.5,1,3.64825,-11.14825,-0.15294622033200714
45,2019-12-03 01:00:00,2019-12-03 01:30:00,closed,short,lose,7267.5,7276.5,1,3.63825,-12.63825,-0.17390092879256963
46,2019-12-03 01:45:00,2019-12-03 01:50:00,closed,short,win,7278.0,7274.0,1,3.637,0.363,0.004987633965375103
