,entry_timestamp,close_timestamp,status,order_type,profit_status,entry_price,close_price,lot,transaction_cost,profit_size,profit_percentage
0,2019-11-17 02:00:00,2019-11-17 08:00:00,closed,short,lose,8478.5,8498.5,1,4.24925,-24.24925,-0.28600872795895504
1,2019-11-17 09:00:00,2019-11-17 10:00:00,closed,short,lose,8481.0,8480.0,1,4.24,-3.24,-0.03820304209409268
2,2019-11-17 11:00:00,2019-11-17 12:00:00,closed,short,lose,8475.5,8479.0,1,4.2395000000000005,-7.7395000000000005,-0.09131614654002713
3,2019-11-17 14:00:00,2019-11-17 16:00:00,closed,short,lose,8475.0,8553.5,1,4.27675,-82.77674999999999,-0.9767168141592919
4,2019-11-18 05:00:00,2019-11-18 06:00:00,closed,long,lose,8551.0,8541.5,1,4.2707500000000005,-13.77075,-0.16104256812068762
5,2019-11-18 07:00:00,2019-11-18 08:00:00,closed,short,win,8506.0,8497.5,1,4.24875,4.25125,0.049979426287326593
6,2019-11-18 09:00:00,2019-11-18 11:00:00,closed,short,lose,8483.0,8483.0,1,4.2415,-4.2415,-0.05
7,2019-11-18 14:00:00,2019-11-18 16:00:00,closed,short,lose,8442.5,8474.0,1,4.237,-35.737,-0.42329878590464914
8,2019-11-18 18:00:00,2019-11-18 21:00:00,closed,short,win,8450.0,8441.0,1,4.2205,4.7795,0.0565621301775148
9,2019-11-18 22:00:00,2019-11-19 09:00:00,closed,short,win,8433.5,8186.5,1,4.09325,242.90675,2.880260271536135
10,2019-11-19 10:00:00,2019-11-19 16:00:00,closed,short,win,8184.0,8156.5,1,4.07825,23.42175,0.28618951612903226
11,2019-11-19 17:00:00,2019-11-20 01:00:00,closed,short,win,8134.5,8084.5,1,4.04225,45.95775,0.5649732620320855
12,2019-11-20 12:00:00,2019-11-20 13:00:00,closed,short,lose,8096.5,8105.5,1,4.0527500000000005,-13.05275,-0.1612147224109183
13,2019-11-20 16:00:00,2019-11-20 21:00:00,closed,short,lose,8077.0,8078.0,1,4.039,-5.039,-0.062387024885477274
14,2019-11-20 22:00:00,2019-11-20 23:00:00,closed,long,lose,8131.0,8120.0,1,4.0600000000000005,-15.06,-0.18521707047103678
15,2019-11-21 00:00:00,2019-11-21 02:00:00,closed,long,lose,8117.5,8089.5,1,4.0447500000000005,-32.04475,-0.3947613181398214
16,2019-11-21 03:00:00,2019-11-21 04:00:00,closed,short,lose,8075.0,8085.0,1,4.0425,-14.0425,-0.17390092879256966
17,2019-11-21 09:00:00,2019-11-21 10:00:00,closed,long,lose,8112.0,8103.0,1,4.0515,-13.0515,-0.16089127218934912
18,2019-11-21 14:00:00,2019-11-22 05:00:00,closed,short,win,8077.5,7588.0,1,3.794,485.706,6.013073351903436
19,2019-11-22 11:00:00,2019-11-22 12:00:00,closed,short,lose,7585.5,7597.0,1,3.7985,-15.2985,-0.2016808384417639
20,2019-11-22 13:00:00,2019-11-22 15:00:00,closed,short,win,7555.0,7547.0,1,3.7735000000000003,4.2265,0.05594308405029782
21,2019-11-22 16:00:00,2019-11-23 00:00:00,closed,short,win,7511.5,7122.0,1,3.561,385.939,5.137975104839247
22,2019-11-23 15:00:00,2019-11-23 20:00:00,closed,short,win,7188.0,7163.0,1,3.5815,21.4185,0.2979757929883139
23,2019-11-23 22:00:00,2019-11-24 05:00:00,closed,long,win,7264.0,7281.0,1,3.6405000000000003,13.3595,0.18391382158590308
24,2019-11-24 06:00:00,2019-11-24 08:00:00,closed,long,lose,7302.0,7259.5,1,3.62975,-46.12975,-0.6317413037523967
25,2019-11-24 11:00:00,2019-11-24 14:00:00,closed,short,lose,7214.5,7211.0,1,3.6055,-0.10550000000000015,-0.0014623328019959824
26,2019-11-24 15:00:00,2019-11-24 17:00:00,closed,short,lose,7185.5,7256.0,1,3.628,-74.128,-1.0316331500939393
27,2019-11-24 18:00:00,2019-11-24 19:00:00,closed,short,lose,7134.5,7208.5,1,3.60425,-77.60425,-1.0877321466115353
28,2019-11-24 20:00:00,2019-11-25 04:00:00,closed,short,win,7154.0,7052.5,1,3.52625,97.97375,1.369496086105675
29,2019-11-25 06:00:00,2019-11-25 16:00:00,closed,short,win,7032.0,6725.0,1,3.3625000000000003,303.6375,4.317939419795222
30,2019-11-25 20:00:00,2019-11-25 21:00:00,closed,long,lose,7129.5,7125.5,1,3.56275,-7.562749999999999,-0.10607686373518478
31,2019-11-25 22:00:00,2019-11-26 04:00:00,closed,long,lose,7166.0,7162.5,1,3.5812500000000003,-7.081250000000001,-0.09881733184482278
32,2019-11-26 11:00:00,2019-11-26 12:00:00,closed,long,lose,7236.5,7190.0,1,3.595,-50.095,-0.69225454294203
33,2019-11-26 13:00:00,2019-11-26 14:00:00,closed,long,lose,7243.5,7155.0,1,3.5775,-92.0775,-1.2711741561399876
34,2019-11-26 22:00:00,2019-11-27 03:00:00,closed,short,lose,7060.5,7076.5,1,3.53825,-19.53825,-0.2767261525387721
35,2019-11-27 06:00:00,2019-11-27 07:00:00,closed,long,win,7140.0,7160.5,1,3.58025,16.91975,0.23697128851540616
36,2019-11-27 09:00:00,2019-11-27 11:00:00,closed,long,lose,7155.0,7076.0,1,3.5380000000000003,-82.538,-1.153570929419986
37,2019-11-27 12:00:00,2019-11-27 14:00:00,closed,short,lose,7073.0,7086.5,1,3.54325,-17.04325,-0.24096210943022764
38,2019-11-27 15:00:00,2019-11-27 19:00:00,closed,short,lose,7062.0,7154.5,1,3.5772500000000003,-96.07725,-1.360482158028887
39,2019-11-27 20:00:00,2019-11-28 07:00:00,closed,long,win,7237.5,7525.0,1,3.7625,283.7375,3.9203799654576854
40,2019-11-28 08:00:00,2019-11-28 09:00:00,closed,long,lose,7570.0,7516.0,1,3.758,-57.758,-0.762985468956407
41,2019-11-28 23:00:00,2019-11-29 05:00:00,closed,long,lose,7616.5,7561.0,1,3.7805,-59.2805,-0.7783168121840741
42,2019-11-29 06:00:00,2019-11-29 08:00:00,closed,short,lose,7390.0,7472.0,1,3.736,-85.736,-1.1601623815967526
43,2019-11-29 17:00:00,2019-11-29 18:00:00,closed,long,lose,7572.5,7541.0,1,3.7705,-35.2705,-0.46577088147903595
44,2019-11-29 20:00:00,2019-11-30 03:00:00,closed,long,win,7600.0,7723.5,1,3.8617500000000002,119.63825,1.5741874999999999
45,2019-11-30 06:00:00,2019-11-30 09:00:00,closed,long,win,7737.0,7750.5,1,3.87525,9.62475,0.12439899185730904
46,2019-11-30 13:00:00,2019-11-30 14:00:00,closed,long,lose,7767.5,7743.0,1,3.8715,-28.3715,-0.3652590923720631
47,2019-11-30 15:00:00,2019-11-30 16:00:00,closed,long,lose,7755.0,7744.0,1,3.872,-14.872,-0.19177304964539008
48,2019-11-30 22:00:00,2019-12-01 05:00:00,closed,short,win,7566.5,7539.5,1,3.76975,23.230249999999998,0.30701447168439827
49,2019-12-01 06:00:00,2019-12-01 07:00:00,closed,short,lose,7538.5,7549.5,1,3.77475,-14.774750000000001,-0.19599058168070574
50,2019-12-01 08:00:00,2019-12-01 17:00:00,closed,short,win,7485.0,7314.5,1,3.65725,166.84275,2.2290280561122247
51,2019-12-01 19:00:00,2019-12-01 20:00:00,closed,short,lose,7316.5,7351.5,1,3.6757500000000003,-38.67575,-0.5286099911159707
52,2019-12-01 23:00:00,2019-12-02 01:00:00,closed,short,lose,7302.5,7325.0,1,3.6625,-26.1625,-0.3582677165354331
53,2019-12-02 02:00:00,2019-12-02 03:00:00,closed,short,lose,7306.5,7352.0,1,3.676,-49.176,-0.6730445493738453
54,2019-12-02 13:00:00,2019-12-02 17:00:00,closed,short,lose,7275.0,7297.5,1,3.64875,-26.14875,-0.3594329896907216
55,2019-12-02 18:00:00,2019-12-02 19:00:00,closed,short,lose,7288.5,7293.0,1,3.6465,-8.1465,-0.11177196954105782
56,2019-12-03 00:00:00,2019-12-03 01:00:00,closed,short,lose,7284.0,7282.0,1,3.641,-1.641,-0.022528830313014826
57,2019-12-03 04:00:00,2019-12-03 05:00:00,closed,long,win,7300.0,7311.5,1,3.6557500000000003,7.84425,0.1074554794520548
58,2019-12-03 06:00:00,2019-12-03 07:00:00,closed,long,lose,7332.5,7300.5,1,3.65025,-35.65025,-0.4861950221616093
59,2019-12-03 08:00:00,2019-12-03 09:00:00,closed,long,lose,7372.0,7354.0,1,3.677,-21.677,-0.29404503526858383
60,2019-12-03 12:00:00,2019-12-03 14:00:00,closed,short,lose,7306.5,7307.0,1,3.6535,-4.1535,-0.05684664339971259
61,2019-12-03 17:00:00,2019-12-03 18:00:00,closed,short,lose,7260.5,7283.0,1,3.6415,-26.1415,-0.3600509606776393
62,2019-12-03 19:00:00,2019-12-03 20:00:00,closed,short,lose,7270.0,7287.0,1,3.6435,-20.6435,-0.28395460797799177
63,2019-12-03 21:00:00,2019-12-03 22:00:00,closed,short,lose,7288.5,7344.0,1,3.672,-59.172,-0.8118542910063798
64,2019-12-04 00:00:00,2019-12-04 04:00:00,closed,long,lose,7325.0,7306.0,1,3.653,-22.653,-0.3092559726962457
65,2019-12-04 05:00:00,2019-12-04 06:00:00,closed,long,lose,7328.5,7310.5,1,3.65525,-21.65525,-0.29549362079552427
66,2019-12-04 08:00:00,2019-12-04 14:00:00,closed,short,lose,7139.5,7137.5,1,3.56875,-1.56875,-0.021972827228797537
67,2019-12-04 15:00:00,2019-12-04 16:00:00,closed,short,lose,7131.5,7185.5,1,3.59275,-57.59275,-0.8075825562644604
68,2019-12-04 21:00:00,2019-12-05 03:00:00,closed,long,lose,7500.0,7486.0,1,3.743,-17.743,-0.23657333333333333
69,2019-12-05 04:00:00,2019-12-05 06:00:00,closed,short,lose,7191.5,7213.5,1,3.60675,-25.606749999999998,-0.35606966557741776
70,2019-12-05 07:00:00,2019-12-05 08:00:00,closed,short,lose,7192.5,7213.0,1,3.6065,-24.1065,-0.3351616266944734
71,2019-12-05 09:00:00,2019-12-05 10:00:00,closed,short,win,7221.0,7201.0,1,3.6005000000000003,16.3995,0.22710843373493975
72,2019-12-05 16:00:00,2019-12-05 23:00:00,closed,long,win,7323.0,7337.5,1,3.66875,10.83125,0.14790727843779872
73,2019-12-06 06:00:00,2019-12-06 08:00:00,closed,long,lose,7397.0,7377.0,1,3.6885,-23.6885,-0.3202446937947817
74,2019-12-06 09:00:00,2019-12-06 10:00:00,closed,long,lose,7404.5,7391.0,1,3.6955,-17.1955,-0.2322304004321696
75,2019-12-06 12:00:00,2019-12-06 14:00:00,closed,long,lose,7404.5,7359.0,1,3.6795,-49.1795,-0.6641839421973124
76,2019-12-06 17:00:00,2019-12-06 18:00:00,closed,long,lose,7388.0,7329.5,1,3.66475,-62.16475,-0.8414286681104494
77,2019-12-06 20:00:00,2019-12-06 21:00:00,closed,long,lose,7370.0,7350.5,1,3.67525,-23.17525,-0.31445386702849387
78,2019-12-06 23:00:00,2019-12-07 00:00:00,closed,short,lose,7368.0,7406.0,1,3.7030000000000003,-41.703,-0.5660016286644951
79,2019-12-07 01:00:00,2019-12-07 14:00:00,closed,long,win,7480.0,7545.5,1,3.7727500000000003,61.72725,0.825230614973262
80,2019-12-07 21:00:00,2019-12-07 22:00:00,closed,long,win,7527.5,7538.0,1,3.769,6.731,0.08941879774161408
81,2019-12-08 03:00:00,2019-12-08 04:00:00,closed,long,lose,7525.0,7513.5,1,3.7567500000000003,-15.25675,-0.20274750830564783
82,2019-12-08 06:00:00,2019-12-08 07:00:00,closed,long,lose,7528.5,7501.5,1,3.75075,-30.75075,-0.4084578601315003
83,2019-12-08 08:00:00,2019-12-08 16:00:00,closed,short,win,7481.5,7447.5,1,3.72375,30.27625,0.40468154781795096
84,2019-12-08 17:00:00,2019-12-08 18:00:00,closed,long,win,7494.0,7498.5,1,3.74925,0.75075,0.010018014411529224
85,2019-12-08 19:00:00,2019-12-08 20:00:00,closed,long,lose,7522.5,7511.5,1,3.75575,-14.755749999999999,-0.19615486872715188
86,2019-12-08 21:00:00,2019-12-09 00:00:00,closed,long,lose,7525.0,7524.0,1,3.762,-4.7620000000000005,-0.06328239202657808
87,2019-12-09 01:00:00,2019-12-09 02:00:00,closed,long,lose,7536.5,7524.5,1,3.76225,-15.76225,-0.2091454919392291
88,2019-12-09 04:00:00,2019-12-09 05:00:00,closed,long,win,7530.0,7541.0,1,3.7705,7.2295,0.09600929614873838
89,2019-12-09 06:00:00,2019-12-09 07:00:00,closed,long,lose,7552.0,7512.5,1,3.75625,-43.25625,-0.5727787341101696
90,2019-12-09 08:00:00,2019-12-09 09:00:00,closed,long,lose,7530.5,7491.0,1,3.7455000000000003,-43.2455,-0.574271296726645
91,2019-12-09 14:00:00,2019-12-09 15:00:00,closed,long,lose,7513.5,7471.0,1,3.7355,-46.2355,-0.6153656751181207
92,2019-12-09 19:00:00,2019-12-09 20:00:00,closed,short,lose,7475.5,7492.0,1,3.746,-20.246,-0.27083138251621963
93,2019-12-09 22:00:00,2019-12-09 23:00:00,closed,long,lose,7542.0,7419.5,1,3.70975,-126.20975,-1.6734254839565101
